System Info,v2.00
Aircraft Report Version,Date,Time,GDU Software Version,Airframe Name,System ID,System Part Number,System Version,Cockpit Ref Guide Part Number,Aircraft Identifier,Aircraft Serial Number,Flight Time (seconds)
"3","07-06-2022","13:54:01","21.50.5","Cirrus SR22 Turbo","000000025B289D04","006-B2647-N8","2647.N8","GPN 190-02184-XX","N122DR ","","734350"

Product Data,v2.00
LRU,Status,Serial Number,SW Part Number,Version,Product String,Description,Model Number,Functions Present,Parent LRU,Power-on Count,Power-on Time
"GIA 1","OK","4SK005601","006-B2548-12","2.19","GIA64 SYS","GIA64 SYS commit: 461fd0f","5","15",,"1027",
"GIA 1 Aircraft CONFIG","OK","","","","","","5","15","GIA 1",,
"GIA 1 A429 CONFIG","OK","","","1.27","","","5","15","GIA 1",,
"GIA 1 GEA CONFIG","OK","","","","","","5","15","GIA 1",,
"GIA 1 Region List","OK","","006-D6318-03","2.10","","GIA64 MAIN REGION LIST","5","15","GIA 1",,
"GIA 1 FPGA","OK","","006-C0164-01","1.10","","GIA6300 Main Board FPGA","5","15","GIA 1",,
"GIA 1 System","OK","4SK005601","006-B2548-12","2.19","GIA64 SYS","GIA64 SYS commit: 461fd0f","5","15","GIA 1",,
"GIA 1 Boot Block","N/A","","006-B2548-BC","2.02","","GIA64 BB commit: 0ecfd73","5","15","GIA 1",,
"GIA 1 XHTML Templates","N/A","","006-D6813-0C","2.16","","GIA64 XHTML","5","15","GIA 1",,
"GIA 1 GARMIN Public Key","N/A","","006-D6704-K2","1.04","","GIA64 Main Key Region","5","15","GIA 1",,
"GIA 1 AFCS Gains","OK","-","006-D0938-35","2.35","GFC700","SR2X Cert Gains","5","15","GIA 1",,
"GIA 1 AUDIO","N/A","","006-D0425-29","4.09","","Alert Audio","0","0","GIA 1",,
"GIA 1 AUDIO Audio CONFIG","OK","","","","","","0","0","GIA 1 AUDIO",,
"GIA 1 AUDIO Audio Database","OK","","006-D0425-29","4.09","","Alert Audio","0","0","GIA 1 AUDIO",,
"GIA 1 BB","N/A","","006-B2548-BC","2.02","","GIA64 BB commit: 0ecfd73","0","0","GIA 1",,
"GIA 2","OK","4SK005580","006-B2548-12","2.19","GIA64 SYS","GIA64 SYS commit: 461fd0f","5","15",,"1057",
"GIA 2 Aircraft CONFIG","OK","","","","","","5","15","GIA 2",,
"GIA 2 A429 CONFIG","Unknown","","","","","","5","15","GIA 2",,
"GIA 2 GEA CONFIG","OK","","","","","","5","15","GIA 2",,
"GIA 2 Region List","OK","","006-D6318-03","2.10","","GIA64 MAIN REGION LIST","5","15","GIA 2",,
"GIA 2 FPGA","OK","","006-C0164-01","1.10","","GIA6300 Main Board FPGA","5","15","GIA 2",,
"GIA 2 System","OK","4SK005580","006-B2548-12","2.19","GIA64 SYS","GIA64 SYS commit: 461fd0f","5","15","GIA 2",,
"GIA 2 Boot Block","N/A","","006-B2548-BC","2.02","","GIA64 BB commit: 0ecfd73","5","15","GIA 2",,
"GIA 2 XHTML Templates","N/A","","006-D6813-0C","2.16","","GIA64 XHTML","5","15","GIA 2",,
"GIA 2 GARMIN Public Key","N/A","","006-D6704-K2","1.04","","GIA64 Main Key Region","5","15","GIA 2",,
"GIA 2 AFCS Gains","OK","-","006-D0938-35","2.35","GFC700","SR2X Cert Gains","5","15","GIA 2",,
